I (A),?I (A),V (V),?V (V),LS (cm),RS (cm),?RS & ?LS (cm),Disapear (V),,,,Phone Disrupt ->,I (A),?I (A),V (V),?V (V),LS (cm),RS (cm),?RS & ?LS (cm),Disapear (V)
0.847,0.001,200.8,0.1,5.4,5.1,0.05,132.1,,,,,1.501,0.001,301.6,0.1,3.6,4.5,0.05,112.7
0.847,0.001,151.7,0.1,4,5,0.05,,,,,,1.501,0.001,251.2,0.1,2.8,4.5,0.05,
0.847,0.001,250.9,0.1,5.4,5.2,0.05,,,,,,1.501,0.001,199.9,0.1,1.9,4.5,0.05,
0.847,0.001,300,0.1,5.4,5.1,0.05,,,,,,1.501,0.001,160.9,0.1,1.3,4.5,0.05,
0.999,0.001,299.8,0.1,6,4.9,0.05,131.3,,,,,1.501,0.001,149,0.1,0.6,4.5,0.05,
0.999,0.001,249.9,0.1,6,4.5,0.05,,,,,,1.501,0.001,140.8,0.1,0.4,4.5,0.05,
0.999,0.001,199.5,0.1,5,4.5,0.05,,,,,,1.501,0.001,121.8,0.1,0.2,4.5,0.05,
0.999,0.001,160.1,0.1,3.5,5,0.05,,,,,,,,,,,,,
0.999,0.001,150.6,0.1,3.2,5,0.05,,,,,,,,,,,,,
0.999,0.001,139.6,0.1,2.5,5,0.05,,,,,,,,,,,,,
1.248,0.001,300.1,0.1,4.4,4.9,0.05,112.5,,,,,,,,,,,,
1.248,0.001,250.4,0.1,3.4,4.9,0.05,,,,,,,,,,,,,
1.248,0.001,200.3,0.1,2.6,4.9,0.05,,,,,,,,,,,,,
1.248,0.001,160.4,0.1,2,4.9,0.05,,,,,,,,,,,,,
1.248,0.001,150.3,0.1,1.7,4.9,0.05,,,,,,,,,,,,,
1.248,0.001,140,0.1,1.4,4.9,0.05,,,,,,,,,,,,,
1.248,0.001,121.9,0.1,0.5,4.9,0.05,,,,,,,,,,,,,
1.503,0.001,300.3,0.1,3.5,4.5,0.05,106.2,,,,,,,,,,,,
1.503,0.001,250.6,0.1,2.9,4.5,0.05,,,,,,,,,,,,,
1.503,0.001,200.1,0.1,2,4.5,0.05,,,,,,,,,,,,,
1.503,0.001,160.3,0.1,1.4,4.5,0.05,,,,,,,,,,,,,
1.503,0.001,150.3,0.1,1.1,4.5,0.05,,,,,,,,,,,,,
1.503,0.001,140.4,0.1,0.8,4.5,0.05,,,,,,,,,,,,,
1.503,0.001,120.6,0.1,0.1,4.5,0.05,,,,,,,,,,,,,
1.777,0.001,300.7,0.1,1.9,4.9,0.05,96.3,,,,,,,,,,,,
1.777,0.001,249.3,0.1,1.2,4.9,0.05,,,,,,,,,,,,,
1.777,0.001,225.2,0.1,0.8,4.9,0.05,,,,,,,,,,,,,
1.777,0.001,201.4,0.1,0.5,4.9,0.05,,,,,,,,,,,,,
1.777,0.001,176.4,0.1,0.1,4.9,0.05,,,,,,,,,,,,,
1.777,0.001,149.8,0.1,-0.3,4.9,0.05,,,,,,,,,,,,,
1.777,0.001,124.6,0.1,-0.8,4.9,0.05,,,,,,,,,,,,,
1.777,0.001,110.9,0.1,-1.3,4.9,0.05,,,,,,,,,,,,,
1.777,0.001,100.5,0.1,-1.6,4.9,0.05,,,,,,,,,,,,,
1.948,0.001,300,0.1,1.2,5,0.05,95.3,,,,,,,,,,,,
1.948,0.001,276,0.1,0.9,5,0.05,,,,,,,,,,,,,
1.948,0.001,251.5,0.1,0.3,5,0.05,,,,,,,,,,,,,
1.948,0.001,226.2,0.1,0.1,5,0.05,,,,,,,,,,,,,
1.948,0.001,201,0.1,0,5,0.05,,,,,,,,,,,,,
1.948,0.001,175.9,0.1,-1.1,6,0.05,,,,,,,,,,,,,
1.948,0.001,151.2,0.1,-1,5.5,0.05,,,,,,,,,,,,,
1.948,0.001,126.8,0.1,-1,4.9,0.05,,,,,,,,,,,,,
